,Company,Symbol,Industry,Offer Date,Shares,Offer_Price,1st Day Close,Current Price,Return,SCOOP Rating,latlng
0,Datadog,DDOG,Technology,9/19/19,24,$27.00 ,$37.55 ,$34.50 ,27.78%,S/O,"[40.73, -74.0059]"
1,Exagen,XGN,Health Care,9/19/19,3.6,$14.00 ,$18.58 ,$16.79 ,19.93%,S/O,"[50.73, -84.0059]"
2,Ping Identity Holding,PING,Technology,9/19/19,12.5,$15.00 ,$20.11 ,$18.51 ,23.40%,S/O,"[60.73, -74.0059]"
3,Envista Holdings,NVST,Health Care,9/18/19,26.8,$22.00 ,$27.95 ,$28.22 ,28.27%,S/O,"[75.73, -74.0059]"
4,IGM Biosciences,IGMS,Health Care,9/18/19,10.9,$16.00 ,$24.30 ,$20.70 ,29.38%,S/O,"[80.73, -74.0059]"
5,Alerus Financial,ALRS,Financials,9/13/19,2.9,$21.00 ,$22.00 ,$21.75 ,3.57%,S/O,"[90.73, -74.0059]"
6,Cloudflare,NET,Technology,9/13/19,35,$15.00 ,$18.00 ,$20.71 ,38.07%,S/O,"[100.73, -74.0059]"
7,Satsuma Pharmaceuticals,STSA,Health Care,9/13/19,5.5,$15.00 ,$16.90 ,$15.41 ,2.73%,S/O,"[140.73, -74.0059]"
8,SpringWorks Therapeutics,SWTX,Health Care,9/13/19,9,$18.00 ,$22.63 ,$27.15 ,50.83%,S/O,"[150.73, -74.0059]"
9,10x Genomics,TXG,Health Care,9/12/19,10,$39.00 ,$52.75 ,$54.30 ,39.23%,S/O,"[160.73, -74.0059]"
10,SmileDirectClub,SDC,Health Care,9/12/19,58.5,$23.00 ,$16.67 ,$15.68 ,-31.83%,S/O,"[180.73, -74.0059]"
11,9F,JFU,Financials,8/15/19,8.9,$9.50 ,$9.58 ,$10.40 ,9.47%,S/O,
12,InMode Ltd.,INMD,Technology,8/8/19,5,$14.00 ,$13.57 ,$26.74 ,91.00%,S/O,
13,AMTD International,HKIB,Financials,8/5/19,20.8,$8.38 ,$10.09 ,$8.95 ,6.80%,S/O,
14,Dynatrace Holdings,DT,Technology,8/1/19,35.6,$16.00 ,$23.85 ,$21.59 ,34.94%,S/O,
15,Sundial Growers,SNDL,Health Care,8/1/19,11,$11.00 ,$8.48 ,$6.19 ,-43.73%,S/O,
16,Blue Hat Interactive Entertainment Technology,BHAT,Consumer Goods,7/26/19,2,$4.00 ,$4.58 ,$3.28 ,-18.00%,S/O,
17,Wanda Sports Group,WSG,Consumer Services,7/26/19,23.8,$8.00 ,$5.16 ,$4.22 ,-47.25%,S/O,
18,Castle Biosciences,CSTL,Health Care,7/25/19,4,$16.00 ,$21.40 ,$20.25 ,26.56%,S/O,
19,Health Catalyst,HCAT,Technology,7/25/19,7,$26.00 ,$39.17 ,$35.75 ,37.50%,S/O,
20,Livongo Health,LVGO,Health Care,7/25/19,12.7,$28.00 ,$38.10 ,$19.39 ,-30.75%,S/O,
21,ProSight Global,PROS,Financials,7/25/19,7.9,$14.00 ,$17.07 ,$17.78 ,27.00%,S/O,
22,Sunnova Energy International,NOVA,Consumer Services,7/25/19,14,$12.00 ,$11.25 ,$11.59 ,-3.42%,S/O,
23,Afya Limited,AFYA,Consumer Services,7/19/19,13.7,$19.00 ,$24.09 ,$22.63 ,19.11%,S/O,
24,Medallia,MDLA,Technology,7/19/19,15.5,$21.00 ,$37.05 ,$30.19 ,43.76%,S/O,
25,AssetMark Financial Holdings,AMK,Financials,7/18/19,12.5,$22.00 ,$27.04 ,$26.65 ,21.14%,S/O,
