,Company,Symbol,Industry,date,shares,price,close,current_price,return,SCOOP Rating,address,price_range,volume,country,state,volume_n,price_n,city,lat,long
0,Oportun Financial,OPRT,Financials,9/26/2019,6.3,$15.00,$16.17,$16.17,7.80%,S/O,"2 Circle Star Way, San Carlos, CA 94070, US",$15.00 - $15.00,$93.8 mil,US,CA,93.8,15.0,SAN CARLOS,37.504936,-122.2618236
1,Peloton Interactive,PTON,Consumer Services,9/26/2019,40.0,$29.00,$25.76,$25.76,-11.17%,S/O,"125 West 25th Street, 11th Floor, New York, NY 10001, US",$29.00 - $29.00,$1160.0 mil,US,NY,1160.0,29.0,NEW YORK,40.7127281,-74.0060152
2,Datadog,DDOG,Technology,9/19/2019,24.0,$27.00,$37.55,$32.44,20.15%,S/O,"620 8th Avenue, 45th Floor, New York, NY 10018, US",$27.00 - $27.00,$648.0 mil,US,NY,648.0,27.0,NEW YORK,40.7127281,-74.0060152
3,Exagen,XGN,Health Care,9/19/2019,3.6,$14.00,$18.58,$14.58,4.14%,S/O,"1261 Liberty Way, Suite C, Vista, CA 92081, US",$14.00 - $14.00,$50.0 mil,US,CA,50.0,14.0,VISTA,33.2000368,-117.2425355
4,Ping Identity Holding,PING,Technology,9/19/2019,12.5,$15.00,$20.11,$17.04,13.60%,S/O,"1001 17th Street, Suite 100, Denver, CO 80202, US",$15.00 - $15.00,$187.5 mil,US,CO,187.5,15.0,DENVER,39.7392364,-104.9848623
5,Envista Holdings,NVST,Health Care,9/18/2019,26.8,$22.00,$27.95,$27.68,25.82%,S/O,"200 S. Kraemer Blvd., Building E, Brea, CA 92821, US",$22.00 - $22.00,$588.9 mil,US,CA,588.9,22.0,BREA,33.9170444,-117.8888557
6,IGM Biosciences,IGMS,Health Care,9/18/2019,10.9,$16.00,$24.30,$18.12,13.25%,S/O,"325 E. Middlefield Road, Mountain View, CA 94043, US",$16.00 - $16.00,$175.0 mil,US,CA,175.0,16.0,MOUNTAIN VIEW,37.3893889,-122.0832101
7,Alerus Financial,ALRS,Financials,9/13/2019,2.9,$21.00,$22.00,$21.85,4.05%,S/O,"401 Demers Avenue, Grand Forks, ND 58201, US",$21.00 - $21.00,$60.1 mil,US,ND,60.1,21.0,GRAND FORKS,47.9078244,-97.0592028
8,Cloudflare,NET,Technology,9/13/2019,35.0,$15.00,$18.00,$19.55,30.33%,S/O,"101 Townsend Street, San Francisco, CA 94107, US",$15.00 - $15.00,$525.0 mil,US,CA,525.0,15.0,SAN FRANCISCO,37.7792808,-122.4192363
9,Satsuma Pharmaceuticals,STSA,Health Care,9/13/2019,5.5,$15.00,$16.90,$15.00,0.00%,S/O,"400 Oyster Point Boulevard, Suite 221, South San Francisco, CA 94080, US",$15.00 - $15.00,$82.5 mil,US,CA,82.5,15.0,SOUTH SAN FRANCISCO,37.6549493,-122.4081251
